transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
XM_030976005.1	LOC100887841	0.00	0.29	0.17	0.565	0.95	1.71	3.06	2.23	3.93	4.42
XM_030980548.1	LOC100887842	0.09	9.06	7.53	11.01	5.39	4.45	2.66	2.16	3.63	4.02
XM_030980803.1	LOC100887843	0.00	0.03	0.09	0.0	0.00	0.11	2.32	1.29	7.17	10.76
XM_030990420.1	LOC100887844	0.00	0.00	0.02	0.0	0.00	0.03	0.00	0.00	0.00	0.00
XM_030988352.1	LOC100887845	0.00	0.00	0.00	0.0	0.00	0.00	0.00	0.00	0.17	0.00
XM_003730255.3	LOC100887846	49.54	79.79	10.15	15.865	19.66	15.96	10.53	10.44	11.51	9.67
XM_030996646.1	LOC100887849	0.27	0.23	1.03	0.04	0.90	0.96	0.82	0.42	1.30	0.40
XM_030973292.1	LOC100887851	0.67	0.23	0.51	1.48	1.45	11.42	19.11	18.63	17.76	16.64
XM_030979302.1	LOC100887852	1.57	2.49	2.07	2.175	2.97	2.43	2.71	1.67	4.81	3.76
XM_030997562.1	LOC100887854	0.16	0.22	0.27	13.120000000000001	12.12	6.63	6.63	6.21	10.95	11.80
XM_030972228.1	LOC100887856	16.17	12.56	3.65	4.57	0.00	5.79	0.00	4.11	3.02	3.67
XM_030972229.1	LOC100887856	15.55	5.42	2.32	2.315	7.37	0.00	4.22	0.00	1.08	0.00
XM_030972115.1	LOC100887858	29.70	27.59	6.39	12.775	10.36	4.15	3.44	3.10	6.36	3.59
XM_030985469.1	LOC100887859	37.49	30.69	28.48	20.825000000000003	22.71	15.62	12.60	11.04	13.44	16.11
